NU_ANO_CENSO,NO_REGIAO,SG_UF,NO_CURSO,QT_ING_TOTAL,QT_CONC_TOTAL,QT_ALUNO_DESISTENTE,QT_ALUNO_MATRICULADO
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,153,18,62,227
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,110,15,37,410
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,90,10,39,182
2024,SUL,PR,ENGENHARIA DE SOFTWARE,76,10,34,225
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,126,29,48,183
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,66,7,32,262
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,90,14,38,191
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,187,29,74,336
2024,NORTE,AM,CIENCIA DA COMPUTACAO,58,8,25,154
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,110,20,34,258
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,157,24,64,222
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,96,17,30,415
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,88,14,43,203
2024,SUL,PR,ENGENHARIA DE SOFTWARE,92,10,34,236
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,118,29,53,210
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,67,7,40,264
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,83,11,39,165
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,192,32,77,322
2024,NORTE,AM,CIENCIA DA COMPUTACAO,64,7,32,162
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,119,18,35,251
2024,SUDESTE,SP,ANALISE E DESENVOLVIMENTO DE SISTEMAS,154,20,58,223
2024,SUDESTE,SP,CIENCIA DA COMPUTACAO,104,14,37,403
2024,SUDESTE,RJ,SISTEMAS DE INFORMACAO,104,12,48,195
2024,SUL,PR,ENGENHARIA DE SOFTWARE,91,12,30,228
2024,SUL,SC,ANALISE E DESENVOLVIMENTO DE SISTEMAS,127,28,47,219
2024,NORDESTE,PE,CIENCIA DA COMPUTACAO,72,6,37,262
2024,NORDESTE,BA,SISTEMAS DE INFORMACAO,91,10,38,170
2024,CENTRO-OESTE,DF,ANALISE E DESENVOLVIMENTO DE SISTEMAS,191,32,76,320
2024,NORTE,AM,CIENCIA DA COMPUTACAO,67,8,31,176
2024,SUDESTE,MG,ENGENHARIA DE SOFTWARE,116,21,27,257
